wordKey,exp
"history","Does anyone in your family have a history of epilepsy?"
"nature","We both love being in nature."
"nature","It's nature's way of saying that we need to be more careful about what we do."
"never","She had never been there before."
"never","He never gets angry easily."
"never","It's never too late to start a healthy lifestyle."
"never","Never ever judge others when you haven't walked a mile in their shoes."
"people","How many people are there in your class?"
"people","Dozens of people went there to support him."
"plastic","There was some water in a plastic bottle."
"plastic","He used a sheet of plastic to fill the opening."
"problem","Whenever a problem arose, he would take a deep breath and go on with his work."
"problem","Poverty poses serious problems in many societies."
"problem","He was having problems finding her apartment."
"problem","We should find a way to tackle the problem of polluting the air."
"street","The entire street was packed with people."
"street","There's heavy traffic on the main street."
"street","He was walking down the street when he saw her."
"street","She lives just across the street."
"street","Be careful while crossing the street."
"think","What do you think of those people?"
"think","I don't think it's a good idea to go there at night."
"think","Do you think that you could pick up some yogurt on your way here?"
"think","Flying in the sky used to be thought of as impossible."
"think","I personally like her, but they don't think much of her."
"think","Who would have thought life could change drastically in just a few years."
"alone","He wanted to be alone so that he could focus on his study."
"alone","You're not alone in struggling to learn English."
"alone","They were not alone in their concern about the tsunami."
"apartment","She lives alone in her apartment."
"apartment","He gave her the key to his apartment."
"article","Last night, I came across an interesting article about the future of humans."
"article","He was trying to write some articles on the website."
"artist","The portrait was made by a famous artist."
"artist","He's an artist who makes marble sculptures."
"attitude","She had a bad attitude toward her work."
"attitude","We should keep a positive attitude and keep going."
"attitude","After a while, he took the attitude that a lot of people might disagree with him."
"attitude","She told him to watch his attitude."
"attitude","Their attitude hardened, but luckily, it softened once they realized that it was just a misunderstanding."
"attitude","He used to be negative, but recently, he has experienced a change in attitude."
"beauty","When she was younger, she was a great beauty."
"beauty","Have you ever watched ""Beauty and the Beast?"""
"compare","Your house is a little bit bigger compared to mine."
"compare","You should compare yourself with the younger version of yourself to see how much you've improved."
"judge","The magistrate was about to judge the offender."
"judge","We should not judge him; after all, he did his best."
"judge","Never ever judge a book by its cover."
"judge","It's not easy to judge whether the new method is effective, as we have just taken it."
"judge","He was so rude that he judged the host's meal."
"magazine","There were a few magazines on the table in the clinic."
"magazine","There was a glossy magazine on the floor."
"material","They wanted to put up a small wall, but they didn't have building materials."
"material","Glass is a transparent, breakable material."
"meal","They had a substantial meal at Monica's."
"meal","She was good at making gourmet meals."
"meal","He didn't have much time, so he had a ready meal."
"meal","They went to a restaurant and had a slap-up meal."
"meal","I much prefer home cooked meal over fast food."
"method","My method of learning vocabulary is reading both textbooks and novels and then watching movies to reinforce them."
"method","Traveling by public transportation is a good method to get around."
"neighbor","They invited their neighbors to the party."
"neighbor","His neighbors were constantly making noise."
"professional","It's a professional job, so I assume his salary is high."
"professional","He wanted to be a good programmer. Therefore, he enrolled in a professional course."
"professional","Since you're a doctor, I'd like to know your professional opinion on this issue."
"profit","He made a big profit by trading cryptocurrency."
"profit","She experienced more sales that month, and her pretax profit was about 1 million dollars."
"profit","He sold the application at a huge profit."
"quality","Is the quality of this one better than the other?"
"quality","The quality of his work was so high that they offered him a better position."
"quality","After I bought it, I realized how poor its quality was."
"quality","We bought several quality products at such low prices."
"space","The furniture took up a lot of space in the living room."
"space","There wasn't much space in the garage."
"space","He was trying to find a parking space."
"space","She moved the table to make some space for the chairs."
"stair","They had to take the stairs since the elevator was out of order."
"stair","He took the stairs to his office on the second floor."
"stair","There was a landing and two flights of stairs to her bedroom."
"stair","The panda was at the foot of the stairs, looking tired already."
"symbol","That symbol indicates that there might be some snakes, so be careful."
"symbol","The stars in the Chinese flag is a symbol of unity."
"thin","He's not fat. On the contrary, he's rather thin."
"thin","The boy was painfully thin."
"accounting","He chose to have a career in accounting."
"accounting","Accounting refers to the activity or process of keeping records of one's financial property, but it also refers to the job of being an accountant."
"appeal","Going surfing doesn't appeal to me since I cannot feel safe in the ocean."
"appeal","The way she behaved in that situation really appeals to me."
"appeal","The organization appealed for money to continue humanitarian efforts."
"appeal","They appealed to the government for subsidies."
"appeal","The playground has a wide appeal to children."
"appeal","As trends change, certain styles lose appeal."
"appeal","Their appeal for volunteers got a pretty good response."
"assume","He assumed that she wanted to go there."
"assume","They assumed him to be upset because of that minor incident."
"borrow","She went to the library to borrow some novels."
"borrow","He had some financial problems, so he had to borrow some money from his friend."
"client","He was a wealthy client of the firm."
"client","Some clients needed advice about products, but no one was there to answer them."
"downtown","She lives in the northern part of the downtown."
"downtown","He went downtown, looking for a job."
"dull","The movie was so dull that he fell asleep."
"dull","She's a good laugh, while he's deadly dull."
"embarrass","He embarrassed him by making those comments."
"embarrass","She wanted to show her a piece of her mind, but she didn't want to embarrass her in front of them."
"embarrass","They were embarrassed by their kid's remark."
"fare","He didn't have money to pay the fare, but the bus driver was nice enough to let him go."
"fare","She asked how much the fare was, but the driver didn't hear."
"former","Who was the former president of your country?"
"former","Ross's former wife went to tell him that she was pregnant."
"former","The mayor wanted to restore the structure to its former glory."
"found","They all contributed to found a small hospital for the poor in the suburb."
"found","Facebook was founded by Mark Zuckerberg."
"found","Elon Musk founded Tesla and some other companies."
"found","His hypothesis was founded on empirical evidence gathered over a decade of experiments."
"invest","He invested some money, hoping that he would get more money back."
"invest","They decided to invest one million dollars in his project."
"invest","We should invest a lot of energy and time in English."
"loan","He took out a $20,000 loan to start his own business."
"loan","She applied for a loan so that she could buy an apartment."
"practical","Initially, he wanted to buy a sports car, but then he came to his senses and decided to buy something more practical."
"practical","She always goes for practical shoes instead of high heels."
"practical","He went to his shrink for some practical advice."
"practical","They came up with a practical solution to the problem."
"quarter","She was here a quarter earlier."
"quarter","The little boy found a quarter and bought a candy with it."
"salary","She was earning a low salary, so she decided to work on her skills to get a higher one."
"salary","His annual salary is about 100 thousand."
"salary","Unwilling to take a drop in salary, he decided to change jobs."
"scholarship","After a few years of hard work, she won a scholarship to Stanford University."
"scholarship","He went to that university on a scholarship."
"temporary","His post in the office was temporary, but he got promoted after doing such a good job."
"temporary","This is just temporary. We're going to be laughing all the way to the bank."
"treasure","They were talking about buried treasure."
"treasure","They were digging into the ground, looking for some kind of treasure."
"urge","The firefighters urged people at the ceremony to leave the place immediately."
"urge","The geographer urged that they evacuate all people in the area ASAP."
"urge","He was urged into working on the project by them."
"urge","A kleptomaniac is someone who often has an urge to steal things."
"coach","The coach blew his whistle as a sign to start the game."
"coach","The head coach gave a pep talk to cheer the team."
"control","They couldn't control their kids."
"control","We should learn how to control our emotions."
"control","They put up a few bumpers to control speeding in the area."
"control","The situation was getting out of control."
"control","She was having difficulty staying in control of her feelings."
"control","They had lost control of the gate to the enemy."
"control","They took control over the castle."
"description","We gave them a detailed description of the accident."
"description","Can you give a description of what exactly you want to be in the future?"
"description","The place is beyond description."
"description","Cars of almost every description were in his garage."
"direct","They followed a direct path to the spot."
"direct","Ants were moving in a direct line."
"exam","There is an important exam coming up next week."
"exam","Despite studying hard, he barely got a grade B in his final exam."
"exam","They were going to take a science exam."
"exam","When the exam results came in, he was very disappointed."
"exam","She went to the optician for an eye exam."
"example","That painting is a good example of his work."
"example","We can address this issue by, for example, using electric cars and solar panels."
"limit","You should try to put a limit on how much sugar you consume."
"limit","There's a strict limit on parking here."
"limit","They decided to set a time limit for using the playing lounge for all the staff."
"limit","His doctor advised him to limit his sugar intake."
"local","Most of the local residents grow their own crops."
"local","She went to the local grocery store to get some eggs and bread."
"local","Some locals help them find their way."
"magical","They say that kind of stone has magical powers."
"magical","They strolled along the beach on that magical night."
"mail","A box containing two books came in the mail for her."
"mail","He sent his friend a letter by mail."
"mail","Some plants were delivered to her through the mail."
"novel","His latest novel became a blockbuster."
"novel","She was reading a romantic novel."
"novel","During the meeting, he proposed such a novel suggestion."
"outline","Before writing the novel, he thought about the outline."
"outline","She made an outline, but she spotted a few minor mistakes later."
"outline","Try to outline the key points in your presentation before talking about them in detail."
"poet","Shakespeare was a great poet."
"print","The content was awesome, but the print quality wasn't so good."
"print","They printed some information on leaflets and gave them to students."
"scene","In one scene of the movie, a building collapses."
"scene","The artist depicted a magical scene in wilderness."
"scene","Sherlock went to the scene of the crime."
"sheet","Do you have a sheet of paper that I can write on?"
"sheet","They needed a sheet of wrapping paper to ready the gift for him."
"sheet","She changed the sheet on the bed for her guest."
"silly","Don't be silly; she's not mad at you."
"silly","It was silly of him to think that way."
"store","He used to work in a hardware store."
"store","They stored bundles of straw in the barn."
"store","He stored all the files on a flash driver."
"suffer","She was suffering from a splitting headache."
"suffer","A lot of people suffered a great hurricane."
"suffer","If you abuse the drug, you will suffer the consequences later."
"technology","He is deeply into computer technology."
"technology","I believe that humans may become immortal thanks to science and technology."
"across","They carefully walked across the street."
"across","Across the ocean, there's another nation."
"breathe","Try to breathe in deeply and then breathe out slowly."
"breathe","He couldn't breathe underwater and was about to drown."
"characteristic","Being irritable is a characteristic of his father's side of the family."
"characteristic","One characteristic of it is its fast speed."
"consume","He was so hungry that he consumed two bowls of rice."
"consume","Climbing to the peak of the mountain consumed a lot of energy."
"consume","Learning a foreign language is a time-consuming process."
"excite","The fact that she was going to be an integral part of the project excited her."
"excite","Going skiing really excites me."
"extremely","She was extremely excited about her upcoming trip."
"fear","It was his greatest fear to be at a high altitude."
"fear","He had a fear of rejection, which led him to loneliness."
"fortunate","It was fortunate that he arrived soon."
"fortunate","He felt fortunate to meet her."
"happen","They didn't know what was about to happen."
"happen","A funny thing happened today at school."
"happen","He happened to know a good realtor."
"happen","You don't happen to know anyone who can fix this, do you?"
"happen","It just happened that I knew how to solve their problem."
"length","What's the length of the couch you're looking for?"
"length","The room is about 20 meters in length."
"length","They planted the seeds all along the length of the garden."
"mistake","There are a few spelling mistakes in your essay."
"mistake","Don't beat yourself up; we all make mistakes sometimes."
"mistake","It was a silly mistake to go there at the time."
"mistake","He didn't mean to do it that way; he just did it by mistake."
"mistake","The twins were so alike that he often mistook one for another."
"observe","We decided to stay a little longer to observe the sunset."
"observe","The scientist injected the mouse with a syringe and observed the reaction."
"observe","He was observing how the builder was making it."
"observe","We must observe the law to keep a sound society."
"observe","During the meeting, he observed that the new policy might actually make things worse in the long run."
"opportunity","It's an opportunity of a lifetime, so don't miss it."
"opportunity","They had an opportunity of going to America."
"opportunity","He goes there at every opportunity."
"opportunity","She had a golden opportunity to work for such prestigious corporation."
"prize","The prize for the winner was a luxury week abroad."
"prize","He won a prize for coming in first in the race."
"prize","In the end, Sheldon and Amy won the Nobel Prize in the field of physics."
"race","The race was about to start when he felt a sudden pain in his knee."
"race","She took part in a swimming race."
"race","The university has students of all races."
"realize","Suddenly, he realized that he had an appointment."
"realize","Do you realize how important this is?"
"respond","When the teacher asked those questions, no one could respond."
"respond","He was so upset that he responded by slamming the door."
"respond","Has she responded to the message yet?"
"risk","The risk of losing money is high in gambling."
"risk","There's a high risk of injury if you don't warm up first."
"risk","It's a risk going there by yourself."
"risk","They decided to take a risk and invest their money."
"risk","The entire region is at risk of flooding."
"risk","He finally allowed them to go there, but said they do so at their own risk."
"risk","They risked everything to start their own business."
"risk","She didn't want to risk losing her job by being vocal about the issue."
"wonder","He was wondering about going to China."
"wonder","She couldn't help but wonder where he was headed."
"wonder","He wondered whether he could ask her out."
"wonder","We're wondering if you'd like to have a picnic with us."
"wonder","After watching him performing those stunts, they were filled with wonder."
"wonder","They all stared at her in wonder when she did that."
"yet","It's raining heavily out there, so we can't go out yet."
"yet","He was the best one yet, as no one had achieved better scores."
"yet","The project has yet to be done."
"yet","There was yet another embarrassing situation, which made him even more upset."
"art","They were looking at the art in the museum."
"art","The art class was filled with crayons and colorful pictures."
"book","I've read several English books so far."
"book","She went to the bookstore to buy some biology books."
"clothes","It was snowing heavily, so she put on warm clothes."
"clothes","Once he arrived, he took off his clothes and grabbed a glass of water."
"community","Everyone in the local community knew him."
"community","The Chinese community worked well together."
"community","Nelson Mandela fought bravely for the black community."
"community","She had a sense of community and had been serving the locals with delicious food."
"dinner","He had his dinner and then went to watch a TV show."
"end","They ended the performance with a beautiful song."
"end","He ended his speech by proposing a toast."
"end","Their relationship came to an end after a bitter dispute."
"end","He wanted to bring an end to racial prejudice."
"end","They discussed what the best method was to approach the project, but in the end, they took the initial method."
"exchange","The purpose of the meeting was to exchange information."
"exchange","She said they could exchange addresses when they see each other on the second date."
"exchange","What do you want in exchange for the money?"
"exchange","During the meeting, there was an exchange of ideas about the project."
"family","They wanted to start a family together."
"family","Raising a family requires a lot of patience and dedication."
"family","He was working long hours to provide for his family."
"family","They had a close-knit family."
"family","She comes from a dysfunctional family."
"from","They started their journey from their apartment."
"from","The bus goes from uptown to downtown."
"from","He works from dawn till dusk."
"from","The shop will be open from 7 AM to 10 PM."
"from","From that day on, he promised himself not to drink alcohol anymore."
"from","It's about twenty miles from here to the hamlet."
"from","He asked where she was coming from."
"from","They were trying to get in touch with someone from the company."
"home","By the time they arrived home, it was too late to catch the game."
"home","Phoebe left home when she was a child."
"home","His doctor told him to stay at home and rest for a few days."
"home","The host told them to make themselves at home."
"start","They started working on the project as soon as they could."
"start","He started learning Mandarin a few months ago."
"start","The movie starts with a poem."
"start","The trouble started after his death."
"start","He was skeptical from the start."
"start","They got off to a good start with the project."
"start","Let's make a start on setting up the requirements."
"together","They were strolling through the park together."
"together","She started mixing the ingredients together to make the dough."
"together","Your shirt and jeans go well together."
"together","Let's get together over the weekend and have some fun."
"university","He didn't want to go to university, so he went for a job instead."
"university","She's a professor at the university."
"wear","She wore makeup and her best dress for the party."
"wear","What are you going to wear to the wedding?"
"wear","The performer was wearing some jewels and rings."
"wear","He always wears a calm expression despite difficulties."
"year","It was the best year of her life when she was in Spain."
"year","They went to China last year."
"appreciate","They stood on top of the hill and appreciated the view."
"appreciate","They appreciate being in such lovely scenery."
"appreciate","He didn't appreciate his parents when he was younger."
"appreciate","She appreciated that he would do that for her."
"appreciate","I appreciate your point of view, but I still think we need to take the offer."
"available","No chair was available, so he stood up to let the old man sit."
"available","They were planning to make gas available to the inhabitants."
"beat","They beat their opponents and are ready to go to the next stage."
"beat","He couldn't beat him fair and square, so he resorted to cheating."
"beat","She beat him at chess in a short time."
"beat","The victim was beaten to death."
"beat","He threatened to beat him with a stick if he didn't do the work."
"bright","The room wasn't so bright, but he managed to locate the key."
"bright","A bright light was coming from a building nearby."
"celebrate","They celebrated when they found out that their son would go to MIT."
"celebrate","He decided to celebrate by inviting some of his friends to a slap-up dinner."
"decide","She couldn't decide whether to buy those shoes or that dress."
"decide","After a lengthy discussion, they decided to adopt a new approach."
"decide","In the end, the judge decided in favor of him."
"disappear","Suddenly, there were some menacing clouds that made the sun disappear."
"disappear","The assassin disappeared into the crowd, and they never found him again."
"disappear","After the event, he managed to disappear without a trace."
"else","Everyone else attended but him."
"else","The receptionist asked them if they needed anything else."
"else","They were looking for somewhere else to go for vacation."
"else","He had a ring in his pocket, so she thought he was going to propose to her; why else would he carry a ring?"
"else","I guess Joey ate all that jam. Who else could have eaten it?"
"fair","So she can go, but I can't? Come on, that's not fair."
"fair","It's not fair that you ground me for a week for such a minor mistake."
"fair","She tries to be fair with all her staff."
"fair","That was a fair decision to make."
"fair","They didn't offer a fair wage, so they all went on strike."
"fair","He did his fair share of the work."
"fair","She won the game fair and square."
"flow","The rain flowed down the mountain and formed a brook."
"flow","The river flows through the jungle."
"flow","Traffic was flowing slowly on the highway."
"flow","The flow of the river was pretty fast."
"flow","The flow of traffic during rush hour made it difficult to get there in time."
"forward","The baby crawled forward to his mother."
"forward","From that day forward, he decided not to judge anyone."
"forward","I really look forward to the future."
"hill","The moon rose from behind the hill."
"hill","They stood on top of the hill and looked at the town."
"level","When the tide came in, the water level was higher."
"level","The level of the temperature was showing that he had a fever."
"level","In all languages, there are three main levels: basic, intermediate, and advanced."
"level","On some level, he didn't actually want to do the job."
"level","The way we addressed the issue was wrong on so many levels."
"lone","There was only a lone wolf in the entire area."
"puddle","After the shower, there was a small puddle on the ground."
"response","There was no response; she only stared at him."
"response","They went on strike in response to their bad management."
"response","Thanks to the speedy response, there was no loss of life."
"season","There are four seasons in a year."
"season","They were so happy because it was near the holiday season."
"solution","They needed a solution to that problem ASAP."
"solution","After a while, he managed to come up with a practical solution."
"waste","Trying to persuade him to hit the gym was a waste of time."
"waste","She made so much food that some of it went to waste."
"waste","He decided not to waste time and get on with his work."
"waste","She was wasting her money on unnecessary clothes."
"waste","Don't waste your energy for her; she won't appreciate it."
"whether","It all depends on whether he can do it."
"whether","He wasn't sure whether to ask her or not."
"always","It's almost always cold in that city."
"always","They always go for a stroll in the park in the evening."
"ask","Every time the teacher asked a question, she was the first one to answer."
"ask","It's appropriate to ask for permission first."
"ask","She asked him to move the table."
"ask","He was wondering if he could ask him a favor."
"ask","They wanted to ask his professional opinion about the matter."
"ask","She asked her father's advice on the issue."
"ask","He wasn't sure if he could ask her out to lunch."
"banana","For lunch, he had some bread, cheese, and a banana."
"bread","She bought a loaf of bread and some milk."
"cake","She baked a chocolate cake for his birthday."
"carrot","He went to the local store to get some carrots and chicken to make soup."
"chocolate","Kids usually love chocolate cookies."
"contain","The box that came in the mail contained two books."
"contain","They were looking for something to contain those pieces."
"contain","People who have diabetes should avoid everything that contains sugar."
"contain","He could barely contain his anger during the conversation."
"delicious","The meal was so delicious that he ate an extra dish."
"diet","She had put on weight, so she decided to go on a diet."
"diet","Since he was a great athlete, he was trying to maintain a balanced diet."
"diet","Professional athletes usually eat a very strict diet."
"eat","Eating enough protein and minerals can help you stay healthy."
"food","They were starving because there wasn't any food for them to eat."
"fruit","We should consume more fruits and vegetables if we want to be healthy."
"great","Have you ever been on the great wall?"
"great","It was such a great pleasure to be there with them."
"great","They felt a great sorrow for their deceased daughter."
"great","He was a great artist and became famous in no time."
"great","They spent a great deal of energy trying to clean the area."
"health","We should take care of our health."
"health","Smoking is bad for your health."
"health","She was working in a health facility."
"recipe","She prepared all the ingredients and tried to follow the recipe."
"recipe","It was a recipe for a chocolate cake."
"restaurant","They went to a Chinese restaurant to try something new."
"special","The car had some special features that made it different from the other one."
"special","It was a special day, so they celebrated by taking a trip."
"special","They'd been keeping an expensive bottle of wine for a special occasion."
"water","About 70 percent of Earth is covered with water."
"alive","My grandparents are still alive."
"alive","They kept him alive by using a machine."
"bone","The dog was digging a hole to hide its bone."
"bone","He broke a bone falling from a ladder."
"bother","They didn't bother to do the dishes that night."
"bother","He was such a slacker that he didn't bother finishing his share of the project."
"bother","She was so lazy that she couldn't be bothered to do her own laundry."
"bother","It bothers him that no matter how he talks, his kids don't listen to him."
"bother","Does it bother you if I speak with my friend on the phone?"
"bother","Getting stuck in traffic during the morning commute was a real bother."
"captain","The captain told them to turn the sailcloth to catch the wind."
"conclusion","Don't jump to any conclusions until you know all the facts."
"conclusion","At the conclusion, he sped up and managed to win the race."
"conclusion","At the end of the meeting, they reached the conclusion that they needed to put up some hidden cameras."
"conclusion","In conclusion, we all need to make time for our physical well-being."
"doubt","She had doubts that he was really in love with her."
"doubt","The fact that he couldn't help in that situation raised doubts about his competency."
"doubt","It has cast doubt on the effectiveness of the method."
"doubt","He is, without a doubt, the best member of the team."
"doubt","There's no doubt that we can become fluent as long as we keep studying."
"doubt","I doubt if we can make it with a different type of material."
"doubt","She doubted that he was being sincere about the issue."
"explore","They wanted to explore the area to see if they could find anything unusual."
"explore","They use robots to explore the surface of Mars."
"explore","Let's explore all the possibilities of solving the issue."
"explore","Don't make a hasty decision before exploring all your options."
"explore","He made a device that could help students explore scientific ideas."
"glad","He was so glad to see her at that time."
"glad","I'm glad to know you are having fun over there."
"glad","They were glad that they could find him."
"however","He eats like a horse; however, he's not fat whatsoever."
"however","If he puts his mind to something, he will get it, however difficult it is."
"however","However tired she is, she always keeps working until the work is done."
"injustice","Some poor children are suffering from injustice."
"injustice","They sent him to jail, but it was an act of injustice, as he wasn't guilty."
"international","It's an international organization."
"international","English is an international language."
"lawyer","Mitchell was a lawyer and used to work for a private company."
"lawyer","He refused to speak and wanted to talk to his lawyer first."
"mention","The doctor mentioned the importance of exercise."
"mention","At the conclusion of his speech, he mentioned that he wanted to retire sooner."
"mention","He mentioned knowing someone in that field."
"mention","Learning a foreign language can be beneficial, as it helps you communicate with more people; not to mention boosting brain function."
"old","The little kid thought he was old enough to go there alone."
"old","As they got older, they realized how important it is to appreciate their parents."
"old","His computer was getting old and slow, so he decided to buy a new one."
"policy","Make sure to read the policy before signing any contract."
"policy","The firm introduced a new policy that improved employee satisfaction."
"social","It's a good idea to have a few social friends."
"social","You should take part in some social activities instead of sitting at home all day."
"speech","Ross made a speech, but Chandler ruined it."
"speech","He gave a speech to the public."
"speech","Her speech was slurred, as she had been drinking."
"staff","He was on the technical staff in the company."
"staff","They had a staff of four at the office."
"toward","He walked toward the vending machine, but I couldn't see what he got."
"toward","The trend is toward loose clothing nowadays."
"wood","They needed some wood to make the house warm."
"wood","There was a plank of wood on the floor."
"achieve","He was glad to achieve his goals after all that hard work."
"achieve","If we keep up working, we will achieve our ambitions."
"advise","He advised the boy to learn from his mistakes."
"advise","The doctor strongly advised her against eating junk food."
"advise","His father advised him on vigorous exercise."
"already","They asked him to do that for them, but he had already done it."
"already","She just ate a piece of cake, and she was already full."
"basic","This is just basic English; we need to learn a lot more."
"basic","He just had a basic command of Mandarin, but he was working on it."
"bit","Try to do a bit of exercise every single day."
"bit","She ate just a little bit and dashed out."
"bit","Let's rest a bit before starting the work again."
"consider","We need to consider all the facts before making any decision."
"consider","He didn't like his job, so he considered getting a new one."
"destroy","He knocked over a vase and destroyed it."
"destroy","After the hurricane, the shed was totally destroyed."
"entertain","Before the speech, he entertained the crowd with some tricks."
"entertain","They had a magician entertain them."
"extra","They had extra clothes, so they donated them to some homeless people."
"extra","The company gave him extra money as a reward for his great work."
"extra","He was paid extra for working on the machinery."
"goal","Her goal was to become a great doctor."
"goal","They were all working toward their goal."
"goal","Eventually, he achieved his goal of winning the Nobel Prize in physics."
"lie","He was lying to them about the accident."
"lie","She was lying through her teeth about the incident."
"meat","They ordered medium-rare meat."
"meat","She made rice and tender meat for dinner."
"opinion","What's your opinion about that?"
"opinion","She expressed her opinion about the matter."
"opinion","They didn't care about the public opinion."
"opinion","They had a heated discussion because of a difference of opinion."
"real","There was a real danger, and they needed to be careful about it."
"real","Those gigantic creatures were real at one time in the past."
"reflect","The water on the puddle reflected his picture."
"reflect","A bright light was reflected in the mirror."
"reflect","She said that she needed time to reflect on the offer."
"regard","This type of behavior is generally regarded as discourteous."
"regard","He regards it as a minor problem."
"regard","She has no regard for the poor."
"regard","They all hold him in high regard after getting to know him."
"regard","He asked her to send his regards to her family."
"regard","With regard to the meeting, we ought to ensure everyone has heard about it."
"serve","They served us well, but the room wasn't so good."
"serve","The hostess served her guests with wine and olives."
"serve","He served in the army for about a decade."
"vegetable","She wanted to make vegetable soup."
"vegetable","The farmer grew a lot of root vegetables."
"war","When war broke out, dozens of people emigrated."
"war","After a while, they declared an all-out war."
"war","They tried their best to avert war."
"war","New troops were getting ready to go to war."
"worth","His house is worth a billion dollars."
"worth","That movie is worth watching."
"worth","Don't bother yourself; it's not worth it."
"appear","Suddenly, a deer appeared behind the window."
"appear","The author wanted to show his appreciation by having their names appear in the preface."
"appear","The culprit and plaintiff appeared in court for the trial."
"appear","He appeared to be excited about the plan."
"appear","She appeared very kind and friendly."
"appear","It appears that they know all about it."
"appear","I know how it appears, but it's not like that."
"appear","There appears to be some kind of party."
"appear","It appeared as if she was aware of what was about to happen."
"appear","Do they know about it? It appears not."
"base","The base of the structure must be built very carefully."
"base","At the base of the mountain was a small lake."
"base","His latest movie was based on a true story."
"brain","After the incident, he underwent surgery on his brain."
"brain","At the age of 45, she died from a brain tumor."
"brain","He was acting as if he were the brains of the group."
"career","After a few years, his career took off."
"career","Initially, her career prospects weren't so good."
"career","He managed to get into a brilliant career."
"career","They both embarked on a new career together."
"career","She wasn't happy about her job, but after a few years, she climbed her career ladder and became rich."
"career","He was at the peak of his career when he decided to switch to a career in technology."
"clerk","Initially, he was just a junior office clerk."
"clerk","She took the stuff she needed to the clerk and paid by cash."
"effort","He made a great effort to master English."
"effort","She put a lot of effort into cleaning the house."
"effort","Learning a foreign language is difficult, but it's definitely worth the effort."
"effort","In his effort to learn English, he read several textbooks repeatedly."
"enter","As the players entered the field, the spectators cheered."
"enter","They entered the farm through the gate."
"enter","The police entered the building by the emergency door."
"enter","The giraffe collapsed after just a few seconds when the tranquilizer entered its bloodstream."
"excellent","After they finished painting, the room was in excellent condition."
"excellent","It was an excellent performance."
"hero","Rango became an accidental hero when he killed an eagle with just one shot."
"hero","Nelson Mandela was a real hero who fought for the liberty of the black community."
"hurry","He hurried to get home to catch the final match."
"hurry","When she heard about the accident, she hurried back to see what happened."
"hurry","Don't hurry into any decision before weighing up your options."
"inform","He informed his boss that he wanted to quit the position."
"inform","She asked them to keep her informed about the project."
"inform","It's important to be informed about new techniques in this field."
"inform","She wasn't informed of the decision they had made."
"later","She told them to go ahead and she would come along later."
"later","Later that day, he saw her talking with somebody on the phone."
"leave","She left the group and went to talk to her friend."
"leave","After they packed their stuff, they left for the airport."
"leave","He told them to leave him alone."
"locate","The room was very messy, which made it even harder to locate the card."
"locate","Their apartment was located near a small park."
"locate","Their second home was located in a remote area near the ocean."
"locate","The Statue of Liberty is located on Liberty Island in NYC."
"nurse","He asked the nurse to bring him some water."
"nurse","When she came to, there was a nurse standing beside her bed."
"operation","His condition wasn't so good, and the doctor said he must have a transplant operation."
"operation","She had an operation on her left arm."
"operation","They were waiting outside the operation theater."
"operation","After the apartment collapsed, they launched a rescue operation."
"operation","The military operation was successful."
"pain","Once he lifted the box, he felt a sharp pain in his back."
"pain","She was suffering from constant pain in her shoulder."
"pain","The poor dog was in acute pain."
"pain","When he fell from the ladder, he suffered excruciating pain."
"refuse","The kids refused to tell us what happened."
"refuse","His car was in such poor condition that it refused to start."
"refuse","He's so stubborn that he refuses any help."
"though","Though she wasn't so good at cooking, she wanted to help in the kitchen."
"though","They wanted to go camping, though they didn't know where exactly."
"though","Though they didn't have enough time, they still managed to finish it just in time."
"though","Even though he was under the weather, he refused to stay home and wanted to attend the session."
"various","The video shop had various movies."
"various","He wanted to help, though he had various problems of his own."
"various","Around the main square were various types of shops."
"various","For various reasons, they decided to move to a neighboring area."
"actual","He thought he was lying, but those were their actual words."
"actual","That was an actual story."
"actual","I assumed she was Korean, but in actual fact she was Chinese."
"amaze","They were amazed by how strong he was."
"amaze","It amazed them that he had learned English to such a high level."
"amaze","It amazed his colleague to know that he had already done the task."
"charge","The charge for the suit was 500 dollars."
"charge","He thought there was no charge for kids."
"charge","There was an admission charge of 10 bucks."
"charge","She served him free of charge."
"charge","During his absence, she was in charge of the group."
"charge","Instead of nagging, we should take charge of our life and try to make it better."
"charge","She didn't charge them much, as they were close friends of hers."
"charge","He was arrested on a charge of murder."
"charge","They charged him with murder."
"comfort","This shirt is nothing fancy, but it's good for comfort."
"comfort","He usually ate dinner in the comfort of his room while watching a TV show."
"comfort","She was being comforted by her friends."
"comfort","He comforted her by taking her out for a nice evening."
"contact","Please contact me at this number if you need any help."
"contact","She contacted him about the issue."
"contact","If the chemical contacts your skin, you have to wash it carefully."
"contact","We ought to keep in contact after the course."
"contact","He wanted to make contact with him, but he had lost his contact number."
"contact","She wanted to know if they'd been in contact with each other."
"contact","Don't let the heat from the hair dryer come into contact with your scalp."
"contact","He was feeling itchy ever since he came in contact with that plant in the forest."
"customer","A few customers were waiting in a line in front of the cashier's desk."
"customer","He was a regular customer just because of a girl who was working there."
"deliver","They delivered some flowers to her office."
"deliver","A small box was delivered this afternoon."
"earn","He earns about 10 thousand dollars each month."
"earn","She earns a living from music."
"earn","He earned the admiration of his supervisor."
"gate","The gate was locked, and they had to call the janitor to open it."
"gate","There was a wooden gate at the entrance of his ranch."
"include","They decided to include him on the team."
"include","All three meals are included in the price."
